angDist,col1,angDist.1,col1.1,source_id,ra,dec,parallax,parallax_error,pm,pmra,pmra_error,pmdec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,l,b,SDSS12,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,AllWISE,W1mag,W2mag,W3mag,W4mag,Jmag,Hmag,Kmag,e_W1mag,e_W2mag,e_W3mag,e_W4mag,predicted_ML_class
0.101213,227107,0.079831,162657,3.96554708397273E+017,22.1186757385574,43.4843696110408,1.91924772258546,0.27060056,10.64383,4.80017842321597,0.2732669,-9.49996913072775,19.033272,20.81171,17.735243,130.019113885277,-18.8771278426571,J012828.47+432903.7,24.03,0.63,21.44,0.043,19.939,0.019,18.264,0.009,17.37,0.015,J012828.47+432903.7,14.736,14.585,13.112,9.359,15.906,15.074,14.949,0.029,0.05,,,2
0.075021,227181,0.020751,162737,3.24014428754907E+017,22.1195915893731,39.9545725663849,0.281598129465452,0.108837105,2.8949687,-0.500814248357525,0.106406026,-2.85132068115139,17.524439,17.956446,16.910236,130.597160268861,-22.3652368286257,J012828.70+395716.4,19.634,0.029,18.093,0.006,17.493,0.006,17.253,0.006,17.131,0.012,J012828.69+395716.5,15.799,15.862,13.082,9.056,16.445,15.701,15.205,0.043,0.12,,,2
0.151954,227298,0.04592,162870,3.15771287001799E+017,22.1209196770165,32.1308674825239,0.188780756418797,0.09126279,1.2211264,1.13753185629277,0.10189998,-0.44403944707134,17.358137,17.675745,16.904856,131.994521043799,-30.0881387682854,J012829.01+320751.1,18.81,0.026,17.748,0.006,17.336,0.005,17.202,0.006,17.143,0.014,J012829.01+320751.2,15.909,16.073,12.91,9.053,16.65,16.158,15.769,0.048,0.17,,,2
0.106269,227434,0.147483,163029,3.15569938935394E+017,22.1225943861651,31.1273015886666,3.71841634321828,0.20361105,31.798079,-21.549797507422,0.22580081,-23.382131373064,18.830229,20.650984,17.555794,132.190133172797,-31.0774763940239,J012829.42+310738.4,22.264,0.366,21.217,0.049,19.67,0.021,18.046,0.009,17.234,0.016,J012829.42+310738.3,14.705,14.506,12.476,8.845,15.883,15.085,14.891,0.03,0.048,,,2
0.180968,227440,0.062127,163035,3.092433490289E+017,22.1226383006642,29.9149237184678,0.572919501756509,0.12296552,8.669889,7.59419728892656,0.1250439,-4.18272107716682,17.979944,18.573307,17.264948,132.430003931686,-32.2725455777026,J012829.43+295453.6,21.068,0.091,18.892,0.009,17.942,0.006,17.605,0.007,17.404,0.015,J012829.42+295453.6,15.654,15.604,12.53,9.156,16.129,15.493,15.198,0.042,0.111,,,2
0.541179,227447,0.069776,163044,3.96436201660863E+017,22.1227061048127,42.9975966023267,1.52562706331748,0.38636032,6.9294047,1.77707161924999,0.46264458,-6.69766113520848,19.272383,20.008371,18.132303,130.100283725757,-19.3578302195543,J012829.44+425951.4,24.045,0.581,20.529,0.023,19.152,0.012,18.539,0.011,18.102,0.024,J012829.48+425951.7,16.114,16.258,13.03,9.001,16.773,16.254,15.414,0.046,0.16,,,2
0.216426,227517,0.064194,163119,3.20529457931427E+017,22.1235125989783,36.024300602346,1.08155735536804,0.20955268,10.863716,-6.21174258798964,0.19089107,-8.91260767269721,18.734707,19.872562,17.704033,131.27875589197,-26.2461414263792,J012829.64+360127.5,22.941,0.27,20.367,0.02,18.873,0.01,18.087,0.008,17.667,0.016,J012829.63+360127.6,15.552,15.582,12.692,8.728,16.52,15.759,14.978,0.039,0.103,,,2
0.105597,227615,0.040935,163236,3.15569870215905E+017,22.1247790215171,31.1078338864801,1.87345706230783,0.34319615,8.212432,-8.12288679135231,0.3774615,1.20944163025804,19.573702,20.876451,18.397219,132.196089549535,-31.0963567988636,J012829.94+310628.1,23.624,1.131,21.802,0.091,20.066,0.032,18.78,0.016,18.102,0.033,J012829.95+310628.1,15.741,15.809,12.577,9.125,16.633,15.946,15.224,0.042,0.122,,,2
0.066108,227648,0.082006,163269,3.96398856921328E+017,22.1250903167261,42.6120122276628,1.06917526236156,0.15531503,4.515849,1.72107233284368,0.1279269,4.17502112642592,18.064997,18.855259,17.173826,130.164330284466,-19.7386657116277,J012830.01+423643.1,22.229,0.181,19.448,0.011,18.086,0.007,17.524,0.007,17.207,0.013,J012830.01+423643.1,15.203,15.417,13.048,9.451,16.095,15.386,14.991,0.033,0.084,,,2
0.683428,227658,0.014305,163280,3.96349408961223E+017,22.1252037271801,42.466252743182,1.58160022167014,0.9782961,2.5032694,-2.24729259315372,1.0272284,-1.10273944901882,20.416334,21.111713,19.339031,130.188015782374,-19.8827117804247,J012830.04+422758.5,23.394,0.389,22.309,0.076,20.628,0.029,19.854,0.024,19.214,0.058,J012830.00+422758.0,16.927,17.053,12.855,9.237,16.124,14.791,14.15,0.079,,,,2
0.041848,227681,0.095478,163307,3.15349005817575E+017,22.1254859380562,30.7261559219889,0.447238633137575,0.2749114,4.778041,-2.78049223735767,0.20675875,-3.88568380628066,18.463913,18.983358,17.768518,132.271678113646,-31.4725290594062,J012830.10+304334.1,22.018,0.342,19.293,0.013,18.432,0.01,18.122,0.01,17.91,0.024,J012830.11+304334.1,16.204,16.397,12.796,8.93,16.789,16.195,15.639,0.054,0.21,,,2
0.329473,227889,0.313101,163549,2.97019700305797E+017,22.1283431225144,28.7620731511928,3.00799130901183,0.6331834,49.56332,-46.5557742275653,0.56846684,-17.0024296538094,20.173061,21.127874,18.819302,132.669888932207,-33.4076536961228,J012830.82+284543.4,23.739,1.262,22.823,0.205,21.268,0.082,19.332,0.022,18.308,0.035,J012830.82+284543.3,15.967,16.05,12.547,8.796,16.909,16.494,15.678,0.047,0.169,,,2
0.706637,227907,0.265809,163571,3.96558144374998E+017,22.1285413223342,43.6335717577298,2.05512310796418,0.39266315,26.451,24.8644248173611,0.4294623,-9.02306803776448,19.360552,20.766508,18.176943,130.00272392298,-18.7285624752787,J012830.82+433800.9,24.782,0.737,21.472,0.042,19.887,0.018,18.612,0.011,17.963,0.023,J012830.79+433800.5,15.484,15.512,12.579,9.244,16.572,16.118,15.22,0.035,0.089,,,2
0.113853,227935,0.073656,163607,3.20514923761768E+017,22.1289885541333,35.6758514769999,0.687303705770117,0.114604905,7.01333,5.72506571254246,0.11344515,-4.05097783804873,17.709814,18.370686,16.940796,131.345911674251,-26.5893896404682,J012830.95+354033.1,20.939,0.059,18.707,0.008,17.665,0.006,17.3,0.006,17.097,0.011,J012830.95+354033.1,15.253,15.392,12.729,8.98,16.053,15.34,15.026,0.034,0.079,,,2
0.200891,227984,0.024008,163659,3.24018070887225E+017,22.1294905853499,40.0374094610572,0.358902055459474,0.08743291,1.8803681,-1.68364615282536,0.09979742,-0.837329001692048,17.380295,17.827818,16.755571,130.591388290233,-22.2822250716332,J012831.07+400214.6,19.785,0.031,18.036,0.006,17.326,0.006,17.084,0.006,16.933,0.011,J012831.06+400214.5,15.379,15.526,12.886,9.513,15.997,15.458,15.136,0.035,0.098,,,2
0.766253,227996,0.072388,163678,3.24217219931121E+017,22.1296547147773,41.1782709131704,0.223347588840295,0.21087514,0.5637956,-0.273960306488147,0.21940707,0.492758844730111,18.855433,19.499657,18.038242,130.401998694526,-21.1550118684683,J012831.11+411041.7,22.814,0.274,20.109,0.017,18.83,0.009,18.392,0.009,18.122,0.023,J012831.05+411042.0,16.281,16.022,12.184,9.486,16.74,16.103,15.472,0.062,0.147,,,2
